Branch,Opening_Rank,Closing_Rank,Category,Main_Category,Quota,Gender,Year,Source_File
CSE,321829.0,747212.0,UR/X/OP,UR,X,OP,2021,2021_round1.pdf
CSE,679546.0,760886.0,SC/X/OP,SC,X,OP,2021,2021_round1.pdf
CSE,798609.0,798609.0,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf
CSE,401545.0,401545.0,UR/X/OP,UR,X,OP,2021,2021_round1.pdf
AIADS,449051.0,449051.0,EWS,EWS,,,2021,2021_round1.pdf
EE,22129.0,33944.0,OBC/X/OP,OBC,X,OP,2021,2021_round2.pdf
EE,28744.0,39738.0,UR/X/OP,UR,X,OP,2021,2021_round2.pdf
EE,35058.0,40523.0,UR/X/OP,UR,X,OP,2021,2021_round2.pdf
EE,37448.0,42403.0,EWS,EWS,,,2021,2021_round2.pdf
EE,36674.0,48975.0,UR/X/F,UR,X,F,2021,2021_round2.pdf
EE,54385.0,54385.0,OBC/X/F,OBC,X,F,2021,2021_round2.pdf
EE,110143.0,110143.0,SC/X/F,SC,X,F,2021,2021_round2.pdf
EE,147876.0,147876.0,OBC/H/F,OBC,H,F,2021,2021_round2.pdf
EE,178106.0,199389.0,ST/X/OP,ST,X,OP,2021,2021_round2.pdf
EE,430792.1,430792.1,SC/NCC/OP,SC,NCC,OP,2021,2021_round2.pdf
EE,678330.0,678330.0,SC/S/OP,SC,S,OP,2021,2021_round2.pdf
EI,35557.0,35557.0,FW/OP,FW,OP,,2021,2021_round2.pdf
EI,30762.0,36967.0,UR/X/OP,UR,X,OP,2021,2021_round2.pdf
EI,37098.0,37098.0,UR/X/OP,UR,X,OP,2021,2021_round2.pdf
EI,40160.0,40160.0,UR/X/F,UR,X,F,2021,2021_round2.pdf
EI,41159.0,41159.0,OBC/X/OP,OBC,X,OP,2021,2021_round2.pdf
EI,46729.0,46729.0,EWS,EWS,,,2021,2021_round2.pdf
EI,59678.0,69761.0,OBC/X/F,OBC,X,F,2021,2021_round2.pdf
EI,90059.0,90059.0,UR/FF/OP,UR,FF,OP,2021,2021_round2.pdf
EI,161453.0,161453.0,ST/X/OP,ST,X,OP,2021,2021_round2.pdf
EI,257153.0,257153.0,ST/X/F,ST,X,F,2021,2021_round2.pdf
IP,55669.0,61013.0,UR/X/F,UR,X,F,2021,2021_round2.pdf
IP,63888.0,66366.0,UR/X/OP,UR,X,OP,2021,2021_round2.pdf
IP,70491.0,70491.0,FW/OP,FW,OP,,2021,2021_round2.pdf
IP,72930.0,81560.0,EWS,EWS,,,2021,2021_round2.pdf
IP,301107.0,301107.0,ST/X/OP,ST,X,OP,2021,2021_round2.pdf
IP,307779.0,635125.0,ST/X/F,ST,X,F,2021,2021_round2.pdf
IT,11802.0,17446.0,UR/X/OP,UR,X,OP,2021,2021_round2.pdf
IT,12263.0,17676.0,FW/OP,FW,OP,,2021,2021_round2.pdf
IT,18205.0,18205.0,EWS,EWS,,,2021,2021_round2.pdf
IT,18002.0,18825.0,UR/X/OP,UR,X,OP,2021,2021_round2.pdf
IT,18029.0,21376.0,OBC/X/OP,OBC,X,OP,2021,2021_round2.pdf
IT,16689.0,23692.0,UR/X/F,UR,X,F,2021,2021_round2.pdf
IT,34253.0,34253.0,OBC/NCC/OP,OBC,NCC,OP,2021,2021_round2.pdf
IT,44943.0,44943.0,SC/X/OP,SC,X,OP,2021,2021_round2.pdf
IT,109666.0,143218.0,ST/X/OP,ST,X,OP,2021,2021_round2.pdf
IT,494043.0,494043.0,OBC/H/OP,OBC,H,OP,2021,2021_round2.pdf
MECH,23603.0,41341.0,UR/X/OP,UR,X,OP,2021,2021_round2.pdf
MECH,27472.0,44450.0,FW/OP,FW,OP,,2021,2021_round2.pdf
MECH,45487.0,45487.0,OBC/X/OP,OBC,X,OP,2021,2021_round2.pdf
MECH,43892.0,45713.0,UR/X/OP,UR,X,OP,2021,2021_round2.pdf
MECH,55578.0,60368.0,UR/X/F,UR,X,F,2021,2021_round2.pdf
MECH,152952.0,152952.0,UR/FF/OP,UR,FF,OP,2021,2021_round2.pdf
MECH,179075.0,231024.0,ST/X/OP,ST,X,OP,2021,2021_round2.pdf
CSE,637122.0,674005.0,OBC/X/OP,OBC,X,OP,2021,2021_round2.pdf
CSE,394695.0,775627.0,UR/X/OP,UR,X,OP,2021,2021_round2.pdf
CSE,801714.0,801714.0,FW/OP,FW,OP,,2021,2021_round2.pdf
EC,700621.0,700621.0,SC/X/OP,SC,X,OP,2021,2021_round2.pdf
MECH,733850.0,733850.0,SC/X/OP,SC,X,OP,2021,2021_round2.pdf
CSE,422407.0,504308.0,FW/OP,FW,OP,,2021,2021_round2.pdf
CSE,321077.0,321077.0,OBC/X/OP,OBC,X,OP,2021,2021_round2.pdf
AIADS,739887.0,813977.0,UR/X/OP,UR,X,OP,2021,2021_round2.pdf
CE,693434.0,693434.0,ST/X/OP,ST,X,OP,2021,2021_round2.pdf
CSE,302285.0,302285.0,OBC/X/OP,OBC,X,OP,2021,2021_round2.pdf
IP,541736.0,541736.0,UR/S/F,UR,S,F,2022,2022_round1.pdf
IP,244816.0,684663.0,ST/X/OP,ST,X,OP,2022,2022_round1.pdf
